rank,domain,ai_legibility_score,band,platform,is_ecommerce,scanned_on,methodology_version
514,philiptimothy.com,34.8,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
515,restaurant.org,34.4,Starting Point,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
516,brooksideweldingsupplies.co.uk,34.3,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
517,openstreetmap.org,34.3,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
518,shop.greeneking.co.uk,34.3,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
519,ncaa.com,34.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
520,newforestfootball.co.uk,34.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
521,shop.heart.org,34.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
522,store.integrativenutrition.com,34.0,Starting Point,custom,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
523,linear.app,33.9,Starting Point,unknown,unknown,2026-06-21,aivs-1.0-aeo20260620-full-evid20260621
524,onlinegothic.co.uk,33.8,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
525,semrush.com,33.8,Starting Point,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
526,sierranevada.com,33.8,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
527,daringfireball.net,33.6,Starting Point,squarespace,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
528,archive.ics.uci.edu,33.4,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
529,chivali.com,33.4,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
530,alignmentforum.org,33.2,Starting Point,react-spa,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
531,eshop.internationalsos.com,33.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
532,nhl.com,33.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
533,seths.blog,33.0,Starting Point,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
534,ussoccer.com,33.0,Starting Point,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
535,encyclopedia.com,32.4,Starting Point,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
536,beermats.com,32.1,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
537,huggingface.co,32.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
538,tate.org.uk,32.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
539,kenji.co.uk,31.6,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
540,architizer.com,31.0,Starting Point,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
541,jaxonlee.co.uk,30.8,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
542,archive.org,29.8,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
543,ogieyewear.com,29.6,Starting Point,wix,true,2026-06-27,aivs-1.0-aeo20260620-full-evid20260621
544,readworks.org,28.8,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
545,shop.hamamatsu.com,28.8,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
546,shop.lhh.com,27.8,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
547,gapminder.org,27.6,Starting Point,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
548,uchicago.edu,27.5,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
549,aaas.org,27.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
550,theidlebindery.com,27.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
551,dwell.com,26.6,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
552,servicestation.dotdigital.com,26.2,Starting Point,shopify,true,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
553,idesignawards.com,26.0,Starting Point,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
554,wikipedia.org,26.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
555,barrym.com,25.6,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
556,oyez.org,25.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
557,savertek.com,25.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
558,pgatour.com,24.6,Starting Point,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
559,eu.drivingexperience.hyundai.com,24.2,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
560,exito.com,24.0,Starting Point,react-spa,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
561,indiehackers.com,24.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
562,umich.edu,23.8,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
563,booksbymetre.com,23.6,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
564,carnegieendowment.org,23.4,Starting Point,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
565,magnoliabakery.com,23.4,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
566,fnatic.com,23.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
567,lkbennett.com,22.8,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
568,likaofficial.com,22.5,Starting Point,unknown,unknown,2026-08-17,aivs-1.0-aeo20260620-full-evid20260621
569,wearecow.com,22.2,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
570,helicopterproductions.com,22.0,Starting Point,unknown,unknown,2026-08-17,aivs-1.0-aeo20260620-full-evid20260621
571,shopify-demo.sales.loyaltylion.com,21.2,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
572,treasuryfriendsandfamily.com,21.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
573,ma.dior.com,20.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
574,jmbullion.com,19.8,Starting Point,wordpress,true,2026-06-26,aivs-1.0-aeo20260620-full-evid20260621
575,lookerstudio.google.com,18.3,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
576,substack.com,18.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
577,whataburger.com,17.4,Starting Point,custom,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
578,nyse.com,16.8,Starting Point,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
579,essexfarmfoods.com,16.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
580,wiktionary.org,16.0,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
581,scratch.mit.edu,15.8,Starting Point,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
582,chamberlandres.co.uk,14.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
583,checkout.spglobal.com,14.0,Starting Point,shopify,true,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
584,durasense.storaenso.com,14.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
585,i-wiceligibility.meijer.com,13.0,Starting Point,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
586,millerlite.com,10.2,Starting Point,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
587,checkout.ihsmarkit.com,10.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
588,shop.panerabread.com,7.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
589,bartesian.com,4.8,Starting Point,custom,false,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
590,dealers.wahoofitness.com,4.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
591,irone.harley-davidson.com,4.0,Starting Point,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
592,destore.hermanmiller.com,3.0,Starting Point,custom,true,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
593,checkout.shop.hillspet.com,1.2,Starting Point,custom,false,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
594,faberge.com,0.8,Starting Point,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
595,chickidee.co.uk,0.6,Starting Point,shopify,false,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
596,pishposhbaby.com,0.0,Starting Point,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
